13:30; 5+8*7 Result = 61
13:31; 7-9j Result = (7-9j)
13:55; 5+7*5 Result = 40
13:56; 4+5-6 Result = 3
13:57; 4*6/7+8 Result = 11.428571428571429
14:06; 5+8*9 Result = 77
14:07; 4+7/5 Result = 5.4
14:07; 3+5 Result = 8
14:07; 3+4 Result = 7
14:12; 4+6 Result = 10
14:12; 4+6 Result = 10
14:12; 5+8 Result = 13
14:13; 5+7 Result = 12
14:14; 4+6 Result = 10
14:15; 476 Result = 476
14:15; 4+6 Result = 10
14:15; 0 Result = 0
14:15; 0 Result = 0
14:17; 3-5 Result = -2
14:17; 4 Result = 4
14:18; 3-5 Result = -2
14:25; 3+5 Result = 8
14:25; 35+6 Result = 41
14:29; 5+7 Result = 12
14:29; 5-7 Result = -2
14:29; 6-7 Result = -1
14:30; 1+5 Result = 6
14:31; 3+5 Result = 8
14:31; 5+7 Result = 12
14:35; 5+7 Result = 12
14:35; 5+7 Result = 12
14:35; 4-5 Result = -1
14:37; 4+6 Result = 10
14:37; 5-7*8 Result = -51
14:38; 5+7*8 Result = 61
14:38; 6+18j Result = (6+18j)
14:42; 5+7 Result = 12
14:47; 486 Result = 486
14:50; 4-7 Result = -3
14:50; 4-76 Result = -72
14:50; 44-6 Result = 38
14:51; 2+2++2 Result = 6
15:11; 333 Result = 333
